  1.6600E+00  1.6700E+00  2.0745E-01  6.6524E-01  2.4886E+00  2.0733E-01
  1.6800E+00  1.6900E+00  2.0822E-01  6.5834E-01  2.4907E+00  2.0827E-01
  1.7000E+00  1.7100E+00  2.0897E-01  6.5167E-01  2.4924E+00  2.0914E-01
  1.7200E+00  1.7300E+00  2.0975E-01  6.4527E-01  2.4943E+00  2.1021E-01
  1.7400E+00  1.7500E+00  2.1083E-01  6.4037E-01  2.4974E+00  2.1151E-01
  1.7600E+00  1.7700E+00  2.1080E-01  6.3495E-01  2.4965E+00  2.0910E-01
  1.7800E+00  1.7900E+00  2.0423E-01  6.1000E-01  2.4681E+00  1.9493E-01
  1.8000E+00  1.8100E+00  1.8750E-01  5.3854E-01  2.3880E+00  1.6833E-01
  1.8200E+00  1.8300E+00  1.6535E-01  4.1510E-01  2.2637E+00  1.3926E-01
  1.8400E+00  1.8500E+00  1.4540E-01  2.6092E-01  2.1362E+00  1.1688E-01
  1.8600E+00  1.8700E+00  1.3185E-01  1.1418E-01  2.0452E+00  1.0430E-01
  1.8800E+00  1.8900E+00  1.2607E-01  2.3219E-02  2.0070E+00  1.0047E-01
  1.9000E+00  1.9100E+00  1.2507E-01  1.6689E-03  2.0005E+00  1.0002E-01
  1.9200E+00  1.9300E+00  1.2500E-01  6.8185E-05  2.0000E+00  1.0000E-01
  1.9400E+00  1.9500E+00  1.2500E-01  2.5018E-06  2.0000E+00  1.0000E-01
  1.9600E+00  1.9700E+00  1.2500E-01  8.8768E-08  2.0000E+00  1.0000E-01
  1.9800E+00  1.9900E+00  1.2500E-01  0.0000E+00  2.0000E+00  1.0000E-01
  2.0000E+00  2.0100E+00  1.2500E-01 -8.8768E-08  2.0000E+00  1.0000E-01
