  5.3211E+01  2.5743E+11  7.2008E+12
  5.3771E+01  2.6462E+11  7.3418E+12
  5.4331E+01  2.7194E+11  7.4840E+12
  5.4891E+01  2.7936E+11  7.6274E+12
  5.5451E+01  2.8690E+11  7.7718E+12
  5.6011E+01  2.9456E+11  7.9175E+12
  5.6571E+01  3.0233E+11  8.0642E+12
  5.7131E+01  3.1022E+11  8.2121E+12
  5.7692E+01  3.1823E+11  8.3611E+12
  5.8252E+01  3.2635E+11  8.5112E+12
  5.8812E+01  3.3458E+11  8.6624E+12
  5.9372E+01  3.4293E+11  8.8147E+12
  5.9932E+01  3.5140E+11  8.9681E+12
  6.0492E+01  3.5999E+11  9.1226E+12
  6.1052E+01  3.6869E+11  9.2782E+12
  6.1612E+01  3.7751E+11  9.4348E+12
  6.2172E+01  3.8645E+11  9.5926E+12
  6.2733E+01  3.9550E+11  9.7514E+12
